Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0654404847702706,-0.0115511663960177,-0.00186508624333949,0,0,0,2.16027870233038,0.00463863079010847,-6.39414789730649E-05,-3.30110987720983E-07,0.00415778683942326,5.923314981125E-06,0.00664897945263854,0,0,0,0,0,0,package://SD05-20260506/meshes/base_link.STL,0.870588235294118,0.870588235294118,0.870588235294118,1,0,0,0,0,0,0,package://SD05-20260506/meshes/base_link.STL,,base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip_Link,0.0374451311419301,0.00796525025392083,2.14973206310622E-06,0,0,0,0.0367396717612452,3.04961373778771E-05,-5.52382717205303E-06,2.25074987876639E-09,7.37261549489245E-05,6.63333360569417E-10,4.97622842650318E-05,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_hip_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_hip_Link.STL,,FR_hip-1,FL_hip_joint,A_FL_hip_joint,FL_hip_joint,revolute,0.1425,0.050023,-0.0072504,0,0,0,base_link,1,0,0,4,15,-0.87,0.87,,,,,,,,
FL_thigh_Link,-0.00266395567586672,0.0632528978102391,-0.0282161884758283,0,0,0,0.23128186393548,0.000682957654715945,1.59348390035579E-06,-9.07308018868415E-06,0.000822261958087483,6.76497624256573E-06,0.000166199380515751,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_thigh_Link.STL,0.862745098039216,0.933333333333333,0.929411764705882,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_thigh_Link.STL,,FL_thigh-1,FL_thigh_joint,A_FL_thigh_joint,FL_thigh_joint,revolute,0.057,0.015,0,0,0,0,FL_hip_Link,0,-1,0,4,15,-1.5,4.2,,,,,,,,
FL_calf_Link,0.00843639893947234,-0.0093430359139513,-0.0685989465119466,0,0,0,0.0493354723542818,0.000272472940207419,6.16233004843997E-10,1.02548425562206E-05,0.000277647573776473,-3.95272088297692E-08,7.91128865793046E-06,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_calf_Link.STL,0.862745098039216,0.933333333333333,0.929411764705882,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_calf_Link.STL,,FL_calf-1,FL_calf_joint,A_FL_calf_joint,FL_calf_joint,revolute,0.018707,0.0842,-0.19912,0,0,0,FL_thigh_Link,0,-1,0,4,15,-2.875,-1.3,,,,,,,,
FL_foot_Link,-0.0118624601963032,-0.00934766988539898,-0.203178295218204,0,0,0,0.0328248236983346,5.95747058206631E-06,-1.82330230224709E-10,1.68564034828491E-06,5.34296814954252E-06,-3.43837406390275E-10,6.13873574840854E-06,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_foot_Link.STL,0.690196078431373,0.690196078431373,0.690196078431373,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_foot_Link.STL,,FL_foot-1,FL_calf_joint,A_FL_calf_joint,FL_foot_joint,fixed,0,0,0,0,0,0,FL_calf_Link,0,0,0,,,,,,,,,,,,
FL_calf_rotor_Link,2.91503323057996E-05,0.0397762338491501,-0.000269683163528352,0,0,0,0.152380551533295,7.76235496071843E-05,2.25172416666393E-08,2.77499167020303E-07,0.000151065837575634,1.10132104371094E-07,7.83582426997915E-05,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_calf_rotor_Link.STL,0.870588235294118,0.870588235294118,0.870588235294118,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_calf_rotor_Link.STL,,FL_calf_rotor-1,FL_thigh_joint,A_FL_thigh_joint,FL_calf_rotor_joint,fixed,0,0,0,0,0,0,FL_thigh_Link,0,0,0,,,,,,,,,,,,
FL_thigh_rotor_Link,0.0567567584269481,-0.00222376615061944,-0.00012005120207048,0,0,0,0.152380551546409,7.84505885687839E-05,1.11162896638045E-07,2.51427728858253E-08,0.000151065837575696,1.67008108428141E-08,7.75312037388025E-05,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_thigh_rotor_Link.STL,0.870588235294118,0.870588235294118,0.870588235294118,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_thigh_rotor_Link.STL,,FL_thigh_rotor-1,FL_hip_joint,A_FL_hip_joint,FL_thigh_rotor_joint,fixed,0,0,0,0,0,0,FL_hip_Link,0,0,0,,,,,,,,,,,,
FL_hip_rotor_Link,0.125276233849139,0.0500054237268724,-0.00752104714863578,0,0,0,0.152380551534698,0.000151065837575678,-2.71106620546269E-08,1.09092248055213E-07,7.76480658976643E-05,-3.0727298728297E-07,7.83337264093998E-05,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_hip_rotor_Link.STL,0.870588235294118,0.870588235294118,0.870588235294118,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FL_hip_rotor_Link.STL,,FL_hip_rotor-1,base_link,,FL_hip_rotor_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
FR_hip_Link,0.0374451311366747,-0.00796525024279157,-2.14970993626419E-06,0,0,0,0.0367396717386546,3.04961373762412E-05,5.52382718274803E-06,-2.25074403870665E-09,7.37261546991491E-05,6.63336936993392E-10,4.97622840298176E-05,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_hip_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_hip_Link.STL,,FL_hip-1,FR_hip_joint,A_FR_hip_joint,FR_hip_joint,revolute,0.1425,-0.049977,-0.0072504,0,0,0,base_link,-1,0,0,4,15,-0.87,0.87,,,,,,,,
FR_thigh_Link,-0.00250284573737383,-0.0634689720408166,-0.0298110081352063,0,0,0,0.239774264013264,0.000683244212417602,-1.59769284333313E-06,-9.17031663945475E-06,0.000822431574660211,-6.77382699832388E-06,0.000166322375357544,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_thigh_Link.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_thigh_Link.STL,,FR_thigh-1,FR_thigh_joint,A_FR_thigh_joint,FR_thigh_joint,revolute,0.057,-0.015,0,0,0,0,FR_hip_Link,0,1,0,4,15,-1.5,4.2,,,,,,,,
FR_calf_Link,0.00843639894061371,0.00935696408663378,-0.0685989465237509,0,0,0,0.0493354723458135,0.000272472940163282,6.16233237452768E-10,1.02548425517022E-05,0.000277647573732009,-3.95272109637064E-08,7.91128865741809E-06,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_calf_Link.STL,0.862745098039216,0.933333333333333,0.929411764705882,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_calf_Link.STL,,FR_calf-1,FR_calf_joint,A_FR_calf_joint,FR_calf_joint,revolute,0.018707,-0.0842,-0.19912,0,0,0,FR_thigh_Link,0,1,0,4,15,-2.875,-1.3,,,,,,,,
FR_foot_Link,-0.0118624599862587,0.00935232994192395,-0.203178295455475,0,0,0,0.0328248242226334,5.95747068257777E-06,-1.82219822151402E-10,1.68564042311987E-06,5.34296830491819E-06,-3.43898299549669E-10,6.13873591852606E-06,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_foot_Link.STL,0.690196078431373,0.690196078431373,0.690196078431373,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_foot_Link.STL,,FR_foot-1,FR_calf_joint,A_FR_calf_joint,FR_foot_joint,fixed,0,0,0,0,0,0,FR_calf_Link,0,0,0,,,,,,,,,,,,
FR_calf_rotor_Link,-0.000196438894800671,-0.0397762338442788,-0.000187057063482151,0,0,0,0.15238054954093,7.76563761251189E-05,-5.39429451724758E-08,3.16301081390124E-07,0.000151065836019004,-9.86222890014713E-08,7.83254142383979E-05,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_calf_rotor_Link.STL,0.870588235294118,0.870588235294118,0.870588235294118,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_calf_rotor_Link.STL,,FR_calf_rotor-1,FR_thigh_joint,A_FR_thigh_joint,FR_calf_rotor_joint,fixed,0,0,0,0,0,0,FR_thigh_Link,0,0,0,,,,,,,,,,,,
FR_thigh_rotor_Link,0.0567567584269253,0.00222376615061728,0.000120051202063049,0,0,0,0.152380551546248,7.84505885687631E-05,-1.11162896632273E-07,-2.51427728462585E-08,0.000151065837575598,1.67008108457601E-08,7.75312037387252E-05,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_thigh_rotor_Link.STL,0.870588235294118,0.870588235294118,0.870588235294118,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_thigh_rotor_Link.STL,,FR_thigh_rotor-1,FR_hip_joint,A_FR_hip_joint,FR_thigh_rotor_joint,fixed,0,0,0,0,0,0,FR_hip_Link,0,0,0,,,,,,,,,,,,
FR_hip_rotor_Link,0.125276233849147,-0.0499945762731081,-0.00752104714864963,0,0,0,0.152380551534537,0.000151065837575581,-2.71106620496655E-08,1.0909224805103E-07,7.76480658976236E-05,-3.07272987330959E-07,7.83337264093429E-05,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_hip_rotor_Link.STL,0.870588235294118,0.870588235294118,0.870588235294118,1,0,0,0,0,0,0,package://SD05-20260506/meshes/FR_hip_rotor_Link.STL,,FR_hip_rotor-1,base_link,,FR_hip_rotor_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RL_hip_Link,-0.0374451313568141,0.00796525033758676,-2.14935447606732E-06,0,0,0,0.0367396711196432,3.04961370609007E-05,5.52382712984797E-06,2.25053515136972E-09,7.37261542547212E-05,-6.63256406168867E-10,4.97622838469502E-05,0,0,0,0,0,0,package://SD05-20260506/meshes/RL_hip_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SD05-20260506/meshes/RL_hip_Link.STL,,RL_hip-1,RL_hip_joint,A_RL_hip_joint,RL_hip_joint,revolute,-0.1425,0.050023,-0.0072504,0,0,0,base_link,1,0,0,4,15,-0.87,0.87,,,,,,,,
RL_thigh_Link,-0.00573827326282733,0.0632546393085674,-0.0309033101058976,0,0,0,0.231758080890224,0.00067838947100799,1.47853955565322E-06,-4.23485916007306E-05,0.000822303352596006,5.66395486868274E-06,0.000168192402351238,0,0,0,0,0,0,package://SD05-20260506/meshes/RL_thigh_Link.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://SD05-20260506/meshes/RL_thigh_Link.STL,,RL_thigh-1,RL_thigh_joint,A_RL_thigh_joint,RL_thigh_joint,revolute,-0.057,0.015,0,0,0,0,RL_hip_Link,0,1,0,4,15,-1.5,4.2,,,,,,,,
RL_calf_Link,0.00691069181378659,-0.0093430373313881,-0.0687694178815183,0,0,0,0.049335494005557,0.000272797879612209,-2.61262783399293E-10,4.37007788378493E-06,0.000277647607548457,-3.95346328619395E-08,7.58638622698096E-06,0,0,0,0,0,0,package://SD05-20260506/meshes/RL_calf_Link.STL,0.862745098039216,0.933333333333333,0.929411764705882,1,0,0,0,0,0,0,package://SD05-20260506/meshes/RL_calf_Link.STL,,RL_calf-1,RL_calf_joint,A_RL_calf_joint,RL_calf_joint,revolute,0.0058724,0.0842,-0.19991,0,0,0,RL_thigh_Link,0,-1,0,4,15,-2.875,-1.3,,,,,,,,
RL_foot_Link,-0.0163722715806024,-0.00934766721175742,-0.20286469865015,0,0,0,0.0328248240909984,6.03241999926163E-06,-1.89748788007852E-10,1.68800205290813E-06,5.34296784714683E-06,-3.40241634576776E-10,6.06378631973837E-06,0,0,0,0,0,0,package://SD05-20260506/meshes/RL_foot_Link.STL,0.690196078431373,0.690196078431373,0.690196078431373,1,0,0,0,0,0,0,package://SD05-20260506/meshes/RL_foot_Link.STL,,RL_foot-1,RL_calf_joint,A_RL_calf_joint,RL_foot_joint,fixed,0,0,0,0,0,0,RL_calf_Link,0,0,0,,,,,,,,,,,,
